"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.785/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0x19c60074e48ebc1157e473f582291f72ef10e3949751dda685f489ae52b08561","42921925","1684558595","2023-05-20 04:56:35","0x1213c2364061f7cf11eca008c121072c63a213db","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","","0","0","0","0.006852528435628316","0.0053797913904961","0.88","","","Approve"
"0x052c78abbab0a64befb5ab31e8a1141bddaf685fa95d851c6c054729ab3cb3fb","42922065","1684558893","2023-05-20 05:01:33","0x1213c2364061f7cf11eca008c121072c63a213db","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","","0","0","0","0.006637513150366008","0.00521098692783017","0.88","","","Approve"
"0x9952fae32db025bff4cc562492cd3548d422d8064994c35a524372c2f5e52b20","42922424","1684559687","2023-05-20 05:14:47","0x1213c2364061f7cf11eca008c121072c63a213db","0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff","","0","0","0","0.0159445535062608","0.0125177695334031","0.88","","","Swap Exact Tokens For ETH"
"0x9a03cfc394abde4c668be52fdbe970460205b73b1be49aac5d74163e61367e32","42922441","1684559723","2023-05-20 05:15:23","0x1213c2364061f7cf11eca008c121072c63a213db","0x1e4b7a6b903680eab0c5dabcb8fd429cd2a9598c","","0","11","8.63589342990169","0.023802461956322194","0.0186868658930989","0.88","","","Deposit ETH"
"0x96ed8903aa1dd3c6d0e302b1962bf5414718a5999e68f11042b46c1a432fd4f3","43583560","1686025957","2023-06-06 04:32:37","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.052026784875235776","0.0408452517893598","0.82","","","Borrow"
"0xa4fd888995c437743835e1d1dea7199898e33b895ad607fa81e4fa4c6c642e80","43583590","1686026021","2023-06-06 04:33:41","0x1213c2364061f7cf11eca008c121072c63a213db","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","","0","0","0","0.008020076531605392","0.00629641147514543","0.82","","","Approve"
"0xf5cb2eb6a728a67c85eace44f0bbf1673a58ad5388117ec2c13ff399c33cbc10","43583608","1686026074","2023-06-06 04:34:34","0x1213c2364061f7cf11eca008c121072c63a213db","0x4c60051384bd2d3c01bfc845cf5f4b44bcbe9de5","","0","0","0","0.024871660362364122","0.0195262734830988","0.82","","","Execute"
"0xc268b6a550e710fa284a50f81c88bd8daa955d3b6ead97f5abaf8e38b03a0964","43583616","1686026106","2023-06-06 04:35:06","0x1213c2364061f7cf11eca008c121072c63a213db","0x1e4b7a6b903680eab0c5dabcb8fd429cd2a9598c","","0","12","9.42097465080185","0.02782663672670211","0.0218461699349444","0.82","","","Deposit ETH"
"0x0c4bbea280a4dec0f80d88a739d60a452f841a4dc8f367d1196ceef79fe55f9f","43715439","1686320528","2023-06-09 14:22:08","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","0x1213c2364061f7cf11eca008c121072c63a213db","","106.953","0","83.9667918189342","0.003724659564297","0.00292416027817572","0.73","","","Transfer"
"0x090ade0e7a5795e28e7a1b4cc81c75c47a203e6d626c019f21142e7a62118c5f","43715539","1686320742","2023-06-09 14:25:42","0x1213c2364061f7cf11eca008c121072c63a213db","0x1e4b7a6b903680eab0c5dabcb8fd429cd2a9598c","","0","107","84.0036906363165","0.030080775477934863","0.0236158519378405","0.73","","","Deposit ETH"
